page,encoding,src,asset,exists,width,height,format,centered_p_im,review_priority
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image002.gif,img/mps_fluid_count.files/image002.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image003.gif,img/mps_fluid_count.files/image003.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image004.gif,img/mps_fluid_count.files/image004.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image005.gif,img/mps_fluid_count.files/image005.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image006.gif,img/mps_fluid_count.files/image006.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image007.gif,img/mps_fluid_count.files/image007.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image008.gif,img/mps_fluid_count.files/image008.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image009.gif,img/mps_fluid_count.files/image009.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image010.gif,img/mps_fluid_count.files/image010.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image011.gif,img/mps_fluid_count.files/image011.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image012.gif,img/mps_fluid_count.files/image012.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image013.gif,img/mps_fluid_count.files/image013.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image014.gif,img/mps_fluid_count.files/image014.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image015.gif,img/mps_fluid_count.files/image015.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image016.gif,img/mps_fluid_count.files/image016.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image017.gif,img/mps_fluid_count.files/image017.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image018.gif,img/mps_fluid_count.files/image018.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image019.gif,img/mps_fluid_count.files/image019.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image020.gif,img/mps_fluid_count.files/image020.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image021.gif,img/mps_fluid_count.files/image021.gif,False,,,,True,A
mps/mps_6_2.html,cp932,./../img/mps_fluid_count.files/image022.gif,img/mps_fluid_count.files/image022.gif,False,,,,True,A
physics/physics_1.html,cp932,./../img/physics_unit.files/image001.png,img/physics_unit.files/image001.png,True,491,154,PNG,True,A
physics/physics_2.html,cp932,./../img/physics_quantity.files/image006.png,img/physics_quantity.files/image006.png,True,288,105,PNG,True,A
physics/physics_2.html,cp932,./../img/physics_quantity.files/image007.png,img/physics_quantity.files/image007.png,True,373,76,PNG,True,A
physics/physics_2.html,cp932,./../img/physics_quantity.files/image009.png,img/physics_quantity.files/image009.png,True,261,239,PNG,True,A
physics/physics_2.html,cp932,./../img/physics_quantity.files/image010.png,img/physics_quantity.files/image010.png,True,273,239,PNG,True,A
physics/physics_2.html,cp932,./../img/physics_quantity.files/image012.png,img/physics_quantity.files/image012.png,True,471,122,PNG,True,A
physics/physics_3.html,cp932,./../img/physics_vector.files/image001.png,img/physics_vector.files/image001.png,True,204,186,PNG,True,A
physics/physics_4.html,cp932,./../img/physics_q_category.files/image001.png,img/physics_q_category.files/image001.png,True,205,245,PNG,True,A
physics/physics_4.html,cp932,./../img/physics_q_category.files/image006.png,img/physics_q_category.files/image006.png,True,452,348,PNG,True,A
physics/physics_4.html,cp932,./../img/physics_q_category.files/image009.png,img/physics_q_category.files/image009.png,True,423,442,PNG,True,A
physics/physics_5.html,cp932,./../img/physics_operator.files/image003.png,img/physics_operator.files/image003.png,True,16,16,PNG,False,B
physics/physics_5.html,cp932,./../img/physics_operator.files/image004.png,img/physics_operator.files/image004.png,True,258,143,PNG,True,A
physics/physics_5.html,cp932,./../img/physics_operator.files/image001.png,img/physics_operator.files/image001.png,True,16,16,PNG,False,B
physics/physics_5.html,cp932,./../img/physics_operator.files/image002.png,img/physics_operator.files/image002.png,True,209,143,PNG,True,A
physics/physics_6_2_1.html,cp932,./../img/physics_c_inner.files/image001.png,img/physics_c_inner.files/image001.png,True,163,85,PNG,True,A
physics/physics_6_2_1.html,cp932,./../img/physics_c_inner.files/image002.png,img/physics_c_inner.files/image002.png,True,123,42,PNG,True,A
